Name,Pokedex Number,Types,Height,Weight,Abilities,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Moves
Bulbasaur,0001,"['Grass', 'Poison']",0.7 m (2′04″),6.9 kg (15.2 lbs),"['Overgrow', 'Chlorophyll']",45,49,49,65,65,45,318,"{'Ingrain', 'Giga Drain', 'Seed Bomb', 'Curse', 'Grass Pledge', 'Rest', 'Knock Off', 'Leaf Storm', 'Growth', 'Sunny Day', 'Worry Seed', 'Acid Spray', 'Solar Beam', 'Growl', 'Leech Seed', 'Facade', 'Sleep Talk', 'Power Whip', 'Toxic', 'Double-Edge', 'Helping Hand', 'Sleep Powder', 'Tera Blast', 'Razor Leaf', 'Sweet Scent', 'Petal Dance', 'Venoshock', 'False Swipe', 'Body Slam', 'Endure', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Energy Ball', 'Sludge Bomb', 'Grassy Glide', 'Magical Leaf', 'Protect', 'Grassy Terrain', 'Poison Powder', 'Vine Whip', 'Weather Ball', 'Tackle', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Ivysaur,0002,"['Grass', 'Poison']",1.0 m (3′03″),13.0 kg (28.7 lbs),"['Overgrow', 'Chlorophyll']",60,62,63,80,80,60,405,"{'Giga Drain', 'Seed Bomb', 'Curse', 'Grass Pledge', 'Rest', 'Knock Off', 'Leaf Storm', 'Growth', 'Sunny Day', 'Worry Seed', 'Acid Spray', 'Solar Beam', 'Growl', 'Leech Seed', 'Roar', 'Facade', 'Sleep Talk', 'Power Whip', 'Toxic', 'Double-Edge', 'Helping Hand', 'Sleep Powder', 'Tera Blast', 'Razor Leaf', 'Sweet Scent', 'Venoshock', 'False Swipe', 'Body Slam', 'Endure', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Energy Ball', 'Sludge Bomb', 'Grassy Glide', 'Magical Leaf', 'Protect', 'Grassy Terrain', 'Poison Powder', 'Vine Whip', 'Weather Ball', 'Tackle', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Venusaur,0003,"['Grass', 'Poison']",2.0 m (6′07″),100.0 kg (220.5 lbs),"['Overgrow', 'Chlorophyll']",80,82,83,100,100,80,525,"{'Giga Drain', 'Frenzy Plant', 'Seed Bomb', 'Curse', 'Grass Pledge', 'Rest', 'Knock Off', 'Leaf Storm', 'Growth', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Worry Seed', 'Acid Spray', 'Solar Beam', 'Growl', 'Leech Seed', 'Roar', 'Facade', 'Sleep Talk', 'Power Whip', 'Amnesia', 'Earthquake', 'Scary Face', 'Earth Power', 'Toxic', 'Double-Edge', 'Helping Hand', 'Sleep Powder', 'Tera Blast', 'Petal Dance', 'Razor Leaf', 'Sweet Scent', 'Bulldoze', 'Venoshock', 'False Swipe', 'Body Slam', 'Petal Blizzard', 'Endure', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Poison Jab', 'Energy Ball', 'Sludge Bomb', 'Grassy Glide', 'Magical Leaf', 'Stomping Tantrum', 'Protect', 'Grassy Terrain', 'Poison Powder', 'Vine Whip', 'Weather Ball', 'Tackle', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Charmander,0004,['Fire'],0.6 m (2′00″),8.5 kg (18.7 lbs),"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,"{'Flame Charge', 'Shadow Claw', 'Dig', 'Rest', 'Dragon Dance', 'Crunch', 'Iron Tail', 'Fire Punch', 'Metal Claw', 'Thunder Punch', 'Will-O-Wisp', 'Sunny Day', 'Brick Break', 'Heat Wave', 'Rock Tomb', 'Overheat', 'Ancient Power', 'Growl', 'Roar', 'Bite', 'Rock Slide', 'Dragon Breath', 'Belly Drum', 'Facade', 'Sleep Talk', 'Dragon Tail', 'Fire Blast', 'Scary Face', 'Fling', 'Swift', 'Helping Hand', 'Tera Blast', 'Smokescreen', 'Counter', 'False Swipe', 'Body Slam', 'Focus Punch', 'Focus Blast', 'Temper Flare', 'Endure', 'Substitute', 'Slash', 'Fire Fang', 'Dragon Rush', 'Dragon Pulse', 'Dragon Claw', 'Flamethrower', 'Fire Spin', 'Protect', 'Flare Blitz', 'Weather Ball', 'Take Down', 'Scratch', 'Fire Pledge', 'Inferno', 'Ember', 'Outrage', 'Swords Dance', 'Breaking Swipe'}"
Charmeleon,0005,['Fire'],1.1 m (3′07″),19.0 kg (41.9 lbs),"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,"{'Flame Charge', 'Shadow Claw', 'Dig', 'Rest', 'Dragon Dance', 'Crunch', 'Iron Tail', 'Fire Punch', 'Metal Claw', 'Thunder Punch', 'Will-O-Wisp', 'Sunny Day', 'Brick Break', 'Heat Wave', 'Rock Tomb', 'Overheat', 'Ancient Power', 'Growl', 'Roar', 'Bite', 'Rock Slide', 'Dragon Breath', 'Belly Drum', 'Facade', 'Sleep Talk', 'Dragon Tail', 'Fire Blast', 'Scary Face', 'Fling', 'Swift', 'Helping Hand', 'Tera Blast', 'Smokescreen', 'Counter', 'False Swipe', 'Body Slam', 'Focus Punch', 'Focus Blast', 'Temper Flare', 'Endure', 'Substitute', 'Slash', 'Fire Fang', 'Dragon Rush', 'Dragon Pulse', 'Dragon Claw', 'Flamethrower', 'Protect', 'Fire Spin', 'Flare Blitz', 'Weather Ball', 'Take Down', 'Scratch', 'Fire Pledge', 'Inferno', 'Ember', 'Outrage', 'Swords Dance', 'Breaking Swipe'}"
Charizard,0006,"['Fire', 'Flying']",1.7 m (5′07″),90.5 kg (199.5 lbs),"['Blaze', 'Solar Power']",78,84,78,109,85,100,534,"{'Air Cutter', 'Flame Charge', 'Shadow Claw', 'Dig', 'Rest', 'Dragon Dance', 'Crunch', 'Iron Tail', 'Fire Punch', 'Heat Wave', 'Metal Claw', 'Thunder Punch', 'Sunny Day', 'Brick Break', 'Will-O-Wisp', 'Giga Impact', 'Rock Tomb', 'Hyper Beam', 'Air Slash', 'Overheat', 'Ancient Power', 'Solar Beam', 'Growl', 'Roar', 'Bite', 'Rock Slide', 'Dragon Breath', 'Belly Drum', 'Facade', 'Sleep Talk', 'Earthquake', 'Dragon Cheer', 'Dragon Tail', 'Aerial Ace', 'Blast Burn', 'Fire Blast', 'Scary Face', 'Fling', 'Swift', 'Hurricane', 'Double-Edge', 'Helping Hand', 'Heat Crash', 'Tera Blast', 'Smokescreen', 'Bulldoze', 'Counter', 'Focus Punch', 'Body Slam', 'Focus Blast', 'Temper Flare', 'Endure', 'Substitute', 'Slash', 'Fly', 'Acrobatics', 'Fire Fang', 'Dragon Rush', 'Sandstorm', 'Dragon Pulse', 'Dragon Claw', 'Flamethrower', 'Fire Spin', 'Protect', 'Flare Blitz', 'Weather Ball', 'Take Down', 'Scorching Sands', 'Scratch', 'Fire Pledge', 'Inferno', 'Ember', 'Outrage', 'Swords Dance', 'Breaking Swipe'}"
Squirtle,0007,['Water'],0.5 m (1′08″),9.0 kg (19.8 lbs),"['Torrent', 'Rain Dish']",44,48,65,50,64,43,314,"{'Tail Whip', 'Water Gun', 'Shell Smash', 'Water Pulse', 'Hydro Pump', 'Flip Turn', 'Iron Defense', 'Dig', 'Rest', 'Brick Break', 'Water Spout', 'Whirlpool', 'Bite', 'Ice Beam', 'Facade', 'Sleep Talk', 'Liquidation', 'Water Pledge', 'Withdraw', 'Blizzard', 'Life Dew', 'Fling', 'Muddy Water', 'Rapid Spin', 'Mist', 'Icy Wind', 'Ice Punch', 'Helping Hand', 'Tera Blast', 'Double-Edge', 'Mud Shot', 'Flail', 'Zen Headbutt', 'Body Slam', 'Focus Punch', 'Endure', 'Substitute', 'Aqua Ring', 'Surf', 'Ice Spinner', 'Fake Out', 'Rain Dance', 'Chilling Water', 'Yawn', 'Protect', 'Aqua Tail', 'Weather Ball', 'Tackle', 'Take Down', 'Haze', 'Gyro Ball', 'Wave Crash', 'Mirror Coat', 'Aqua Jet'}"
Wartortle,0008,['Water'],1.0 m (3′03″),22.5 kg (49.6 lbs),"['Torrent', 'Rain Dish']",59,63,80,65,80,58,405,"{'Tail Whip', 'Water Gun', 'Shell Smash', 'Water Pulse', 'Hydro Pump', 'Flip Turn', 'Iron Defense', 'Dig', 'Rest', 'Brick Break', 'Whirlpool', 'Bite', 'Ice Beam', 'Facade', 'Sleep Talk', 'Liquidation', 'Water Pledge', 'Withdraw', 'Blizzard', 'Fling', 'Muddy Water', 'Rapid Spin', 'Icy Wind', 'Ice Punch', 'Helping Hand', 'Tera Blast', 'Double-Edge', 'Mud Shot', 'Zen Headbutt', 'Body Slam', 'Focus Punch', 'Endure', 'Substitute', 'Surf', 'Ice Spinner', 'Rain Dance', 'Chilling Water', 'Protect', 'Aqua Tail', 'Weather Ball', 'Tackle', 'Take Down', 'Haze', 'Gyro Ball', 'Wave Crash'}"
Blastoise,0009,['Water'],1.6 m (5′03″),85.5 kg (188.5 lbs),"['Torrent', 'Rain Dish']",79,83,100,85,105,78,530,"{'Tail Whip', 'Water Gun', 'Shell Smash', 'Water Pulse', 'Hydro Pump', 'Flip Turn', 'Iron Defense', 'Avalanche', 'Dig', 'Rest', 'Crunch', 'Aura Sphere', 'Giga Impact', 'Brick Break', 'Hyper Beam', 'Rock Tomb', 'Whirlpool', 'Roar', 'Bite', 'Rock Slide', 'Ice Beam', 'Facade', 'Sleep Talk', 'Liquidation', 'Water Pledge', 'Withdraw', 'Blizzard', 'Earthquake', 'Scary Face', 'Fling', 'Smack Down', 'Muddy Water', 'Rapid Spin', 'Icy Wind', 'Ice Punch', 'Helping Hand', 'Hydro Cannon', 'Tera Blast', 'Double-Edge', 'Mud Shot', 'Zen Headbutt', 'Body Slam', 'Focus Punch', 'Focus Blast', 'Endure', 'Substitute', 'Dark Pulse', 'Surf', 'Ice Spinner', 'Rain Dance', 'Chilling Water', 'Dragon Pulse', 'Protect', 'Aqua Tail', 'Flash Cannon', 'Weather Ball', 'Tackle', 'Take Down', 'Haze', 'Gyro Ball', 'Body Press', 'Wave Crash'}"
Caterpie,0010,['Bug'],0.3 m (1′00″),2.9 kg (6.4 lbs),"['Shield Dust', 'Run Away']",45,30,35,20,20,45,195,"{'String Shot', 'Bug Bite', 'Tackle'}"
